Switch,Port,AP
PRESIDENTS-OFFICE,1,AP-Athletic
PRESIDENTS-OFFICE,2,AP123
PRESIDENTS-OFFICE,3,AP-Chapel
PRESIDENTS-OFFICE,4,AP-Gym
PRESIDENTS-OFFICE,5,AP-Business
PRESIDENTS-OFFICE,6,AP-Theatre
,,
CONCESSION-STAND,1,AP-Cafe1
CONCESSION-STAND,2,AP107
CONCESSION-STAND,3,AP-Locker
CONCESSION-STAND,4,AP-Cafe2
CONCESSION-STAND,5,AP-SmallGym
,,
Mercy2960X-1,1/0/1,APSTEM
Mercy2960X-1,1/0/10,AP111
Mercy2960X-1,1/0/2,AP101
Mercy2960X-1,1/0/5,AP110
Mercy2960X-1,1/0/11,AP102
Mercy2960X-1,1/0/9,AP113
Mercy2960X-1,1/0/14,AP103
Mercy2960X-1,1/0/4,AP104
Mercy2960X-1,1/0/12,AP114
Mercy2960X-1,1/0/8,AP106
Mercy2960X-1,1/0/13,AP108
Mercy2960X-1,1/0/6,AP109
Mercy2960X-1,1/0/7,AP-MediaCenter2
Mercy2960X-1,1/0/3,AP-MediaCenter1
Mercy2960X-1,1/0/16,AP-MainOffice-r
,,
Science2920,1,AP215r
Science2920,2,AP205
Science2920,3,AP208
Science2920,4,AP211
Science2920,5,AP217
Science2920,6,AP206
Science2920,7,AP207
Science2920,8,AP214
Science2920,9,AP210
Science2920,10,AP209
Science2920,29,AP204
Science2920,30,AP212
Science2920,31,AP-President
Science2920,32,AP-Dance
Science2920,33,AP202
Science2920,34,AP201
Science2920,35,AP203
Science2920,36,AP213
Science2920,42,AP216
,,
Athletics1810,1,AP-Turf-Field
Athletics1810,2,AP-Athletic-Bldg
Athletics1810,3,AP-Softball